instance,dimension,beta,gamma,runs,mean_gap_percent,std_gap_percent,median_gap_percent,mean_final_effective_count,mean_final_edge_diversity,mean_runtime_seconds
berlin52,52,2.0,8.0,10,1.8257756563245824,2.465809517734424,0.03314770617873243,15.87561932805591,0.0030929487179487177,0.32493038269999486
berlin52,52,6.0,0.0,10,1.3060196234420576,1.6374981763535874,0.5568814638027049,14.541507441473659,0.012564102564102564,0.32555129650004344
berlin52,52,6.0,1.0,10,1.699814372845399,2.031375287847677,0.4706974277380005,14.461203056016021,0.010288461538461535,0.3177019555000243
berlin52,52,6.0,4.0,10,1.8085388491116414,2.3283962273690206,0.7027313709891276,15.705213040333314,0.0018750000000000006,0.34440337329997417
berlin52,52,6.0,8.0,10,1.0766374966852292,1.7576918624488815,0.47069742773800055,13.988056549310926,0.007019230769230769,0.32254952889998095
berlin52,52,12.0,0.0,10,0.9122248740387165,1.482934837428808,0.0,11.681819127643333,0.01647435897435897,0.3301830444999723
berlin52,52,12.0,1.0,10,1.1389551843012464,1.6155714257285352,0.35799522673031026,13.181699254304352,0.015753205128205126,0.33134388219991706
berlin52,52,12.0,4.0,10,0.9520021214531955,1.6219591104755389,0.0,14.181619374997458,0.012868589743589742,0.32252886819997
berlin52,52,12.0,8.0,10,1.6308671439936355,1.8248574107532067,0.9745425616547335,10.800452419187087,0.01349358974358974,0.3253856208999423
ch150,150,0.0,0.0,10,1.5441176470588234,0.6418730351149988,1.4246323529411764,15.999999999743997,0.005305555555555557,0.783242914099992
ch150,150,0.0,1.0,10,1.4705882352941175,0.4569985873215777,1.5548406862745097,15.999999999743997,0.0011888888888888865,0.7455679657999099
ch150,150,0.0,4.0,10,1.7601102941176472,0.4591870545997773,1.7616421568627452,15.999999999743997,0.0057111111111111095,0.7408327104000364
ch150,150,0.0,8.0,10,2.138480392156863,0.6916303275489555,2.068014705882353,15.999999999743997,0.0014111111111111084,0.8132316299000649
ch150,150,2.0,0.0,10,1.4675245098039216,0.3829861105664778,1.4016544117647058,15.462397173100777,0.0028833333333333324,0.8329977934999533
ch150,150,2.0,1.0,10,1.524203431372549,0.5059658109708028,1.4016544117647058,15.130325663050815,0.0017722222222222226,0.7725799560999349
ch150,150,2.0,4.0,10,1.875,0.7023293235404398,1.876531862745098,15.336159489372477,0.002994444444444441,0.7584640890000628
ch150,150,2.0,8.0,10,1.7279411764705883,0.5724331476474499,1.6314338235294117,14.746409701860014,0.0037444444444444417,0.7904717913000695
ch150,150,6.0,0.0,10,1.7126225490196076,0.5608840128211471,1.4935661764705883,12.480291765277594,0.0020999999999999977,0.7264078593999329
ch150,150,6.0,1.0,10,1.708026960784314,0.7820755682211283,1.279105392156863,11.606214089122611,0.003816666666666664,0.7316733463999754
ch150,150,6.0,4.0,10,1.640625,0.6068209157743604,1.6773897058823528,13.0860472453786,0.0053999999999999986,0.7545155407999573
ch150,150,6.0,8.0,10,1.6283700980392157,0.47342297375266734,1.6237745098039216,14.437327092421905,0.0034166666666666664,0.7610178980000001
ch150,150,12.0,0.0,10,1.602328431372549,0.7453736227654004,1.3863357843137254,13.900167798927459,0.0014166666666666674,0.7445531315000153
ch150,150,12.0,1.0,10,1.5824142156862746,0.734586354289324,1.3863357843137254,13.900167798927459,0.0014166666666666674,0.7751824309000312
ch150,150,12.0,4.0,10,1.5196078431372548,0.6707934277220069,1.3863357843137254,13.900167798927459,0.0014166666666666674,0.7692970038999647
ch150,150,12.0,8.0,10,1.6773897058823528,0.7118447484779186,1.715686274509804,15.000079875654436,0.0022444444444444456,0.8373717605998536
lin318,318,0.0,0.0,10,8.541721192509934,2.0746187437244767,8.617859097289966,15.999999999743997,0.005028825995807127,1.4388439750999624
lin318,318,0.0,1.0,10,8.009707582859454,1.8309900141153486,7.832686954245878,15.999999999743997,0.004958071278825995,1.4050732055000026
lin318,318,0.0,4.0,10,8.51435913297961,1.3149843172243822,8.20861785909729,15.999999999743997,0.003199685534591194,1.428134445400019
