instance,dimension,run,seed,variant,best_known,best_length,gap_percent,final_edge_diversity,mean_edge_diversity,final_effective_count,runtime_seconds
berlin52,52,1,20260805,full,7542,7571,0.38451339167329623,0.018750000000000006,0.0559807692307692,13.052130405637165,0.3933229909998772
berlin52,52,1,20260805,uniform_weights,7542,7542,0.0,0.0,0.06671474358974358,15.999999999743997,0.33608334300015485
berlin52,52,1,20260805,no_directional_penalty,7542,7587,0.5966587112171837,0.0048076923076923045,0.07148076923076924,15.017358639269617,0.34680357100023684
berlin52,52,1,20260805,no_persistence,7542,7569,0.35799522673031026,0.050480769230769246,0.22750961538461542,13.261487173913286,0.3464047450001999
berlin52,52,1,20260805,no_local_search,7542,8201,8.73773534871387,0.014423076923076927,0.03959294871794871,14.234972073506619,0.1156203519999508
berlin52,52,2,20260806,full,7542,7614,0.954653937947494,0.0,0.06999999999999999,15.999999999743997,0.3736773569999059
berlin52,52,2,20260806,uniform_weights,7542,7542,0.0,0.0,0.06081089743589743,15.999999999743997,0.34187509699995644
berlin52,52,2,20260806,no_directional_penalty,7542,7542,0.0,0.0,0.050836538461538454,15.999999999743997,0.3340713380002853
berlin52,52,2,20260806,no_persistence,7542,7542,0.0,0.09471153846153844,0.26350320512820513,9.545949939379106,0.3176545010001064
berlin52,52,2,20260806,no_local_search,7542,8181,8.47255369928401,0.0,0.04829166666666668,15.999999999743997,0.09858339099992008
berlin52,52,3,20260807,full,7542,7940,5.277114823654203,0.0,0.09886858974358974,15.999999999743997,0.32800597699997525
berlin52,52,3,20260807,uniform_weights,7542,8075,7.067090957305754,0.038461538461538436,0.053910256410256395,15.999999999743997,0.2981326330000229
berlin52,52,3,20260807,no_directional_penalty,7542,7542,0.0,0.03189102564102564,0.07550641025641025,12.33592375747215,0.3317955630000142
berlin52,52,3,20260807,no_persistence,7542,7542,0.0,0.06426282051282052,0.21288141025641025,12.801383370736573,0.3529576279997855
berlin52,52,3,20260807,no_local_search,7542,8782,16.441262264651286,0.0,0.05102243589743591,15.999999999743997,0.09706339299964384
berlin52,52,4,20260808,full,7542,7605,0.8353221957040573,0.0,0.06175641025641026,15.999999999743997,0.32882201900019936
berlin52,52,4,20260808,uniform_weights,7542,7542,0.0,0.0,0.09063461538461538,15.999999999743997,0.35473013500040906
berlin52,52,4,20260808,no_directional_penalty,7542,7719,2.3468575974542563,0.0,0.05742628205128206,15.999999999743997,0.3353549700000258
berlin52,52,4,20260808,no_persistence,7542,7542,0.0,0.0,0.20475641025641025,15.999999999743997,0.3146159429998079
berlin52,52,4,20260808,no_local_search,7542,8881,17.75391142932909,0.032692307692307694,0.06473076923076924,8.007039519818614,0.10260060199971122
berlin52,52,5,20260809,full,7542,7542,0.0,0.0,0.07060897435897436,15.999999999743997,0.3175699479998002
berlin52,52,5,20260809,uniform_weights,7542,7619,1.020949350304959,0.0,0.07229166666666666,15.999999999743997,0.3413777829996434
berlin52,52,5,20260809,no_directional_penalty,7542,7623,1.0739856801909309,0.0,0.08181410256410256,15.999999999743997,0.33692845899986423
berlin52,52,5,20260809,no_persistence,7542,7542,0.0,0.013461538461538466,0.2473525641025641,14.034734140244533,0.3563960780002162
berlin52,52,5,20260809,no_local_search,7542,8788,16.520816759480244,0.0,0.05974038461538461,15.999999999743997,0.11386098100001618
berlin52,52,6,20260810,full,7542,7542,0.0,0.0,0.06501923076923077,15.999999999743997,0.3596318490003796
berlin52,52,6,20260810,uniform_weights,7542,7765,2.956775391142933,0.0,0.11589102564102564,15.999999999743997,0.4601522660000228
berlin52,52,6,20260810,no_directional_penalty,7542,7565,0.30495889684433836,0.0,0.10311538461538461,15.999999999743997,0.35851765300003535
berlin52,52,6,20260810,no_persistence,7542,7542,0.0,0.035737179487179485,0.25102243589743595,14.177110673409794,0.39411657199980255
berlin52,52,6,20260810,no_local_search,7542,9073,20.29965526385574,0.0,0.04582692307692307,15.999999999743997,0.10429806599995572
berlin52,52,7,20260811,full,7542,7585,0.5701405462741979,0.0,0.05516346153846154,15.999999999743997,0.37693153100008203
berlin52,52,7,20260811,uniform_weights,7542,7696,2.041898700609918,0.0,0.06132371794871795,15.999999999743997,0.36800554899991766
berlin52,52,7,20260811,no_directional_penalty,7542,7581,0.5171042163882259,0.008974358974358968,0.06532371794871795,14.034734140244533,0.34311140399995566
berlin52,52,7,20260811,no_persistence,7542,7709,2.2142667727393266,0.21891025641025638,0.29824999999999996,7.111127637915107,0.3659264450002411
berlin52,52,7,20260811,no_local_search,7542,8051,6.748872977989923,0.0205128205128205,0.04928525641025641,8.139697081453662,0.1098739580002075
berlin52,52,8,20260812,full,7542,7870,4.348979050649695,0.0,0.04739102564102564,15.999999999743997,0.35423739899988504
berlin52,52,8,20260812,uniform_weights,7542,7844,4.0042429063908775,0.0,0.05746794871794871,15.999999999743997,0.3685203319996617
berlin52,52,8,20260812,no_directional_penalty,7542,7844,4.0042429063908775,0.0,0.05316666666666667,15.999999999743997,0.36685322499988615
berlin52,52,8,20260812,no_persistence,7542,7648,1.405462741978255,0.10272435897435894,0.270224358974359,13.177129997839957,0.3706387749998612
berlin52,52,8,20260812,no_local_search,7542,8715,15.552903739061257,0.013461538461538466,0.0475929487179487,14.034734140244533,0.10762314599969613
berlin52,52,9,20260813,full,7542,7973,5.714664545213472,0.0,0.06770512820512821,15.999999999743997,0.34056262800004333
berlin52,52,9,20260813,uniform_weights,7542,7542,0.0,0.0,0.11398397435897437,15.999999999743997,0.3294801530000768
berlin52,52,9,20260813,no_directional_penalty,7542,7860,4.216388225934765,0.07996794871794873,0.07339423076923075,8.027057879286307,0.3273162940004113
berlin52,52,9,20260813,no_persistence,7542,7542,0.0,0.021634615384615388,0.20918910256410256,14.037863014139893,0.35911645999976827
berlin52,52,9,20260813,no_local_search,7542,8800,16.67992574913816,0.0,0.04724038461538461,15.999999999743997,0.09437067199996818
berlin52,52,10,20260814,full,7542,7542,0.0,0.0,0.07869551282051282,15.999999999743997,0.3884166739999273
berlin52,52,10,20260814,uniform_weights,7542,7542,0.0,0.0,0.05394871794871795,15.999999999743997,0.3282729439997638
berlin52,52,10,20260814,no_directional_penalty,7542,7542,0.0,0.0,0.053830128205128204,15.999999999743997,0.31937125100012054
berlin52,52,10,20260814,no_persistence,7542,7566,0.31821797931583135,0.11282051282051284,0.2584294871794872,13.661462560350502,0.3638484680000147
berlin52,52,10,20260814,no_local_search,7542,9091,20.538318748342615,0.018750000000000006,0.05058333333333333,13.052130405637165,0.09936749799999234
berlin52,52,11,20260815,full,7542,7542,0.0,0.0,0.058596153846153846,15.999999999743997,0.3191665130002548
berlin52,52,11,20260815,uniform_weights,7542,7847,4.044020153805357,0.0,0.057599358974358965,15.999999999743997,0.2986308149997967
