instance,dimension,variant,runs,mean_gap_percent,std_gap_percent,median_gap_percent,mean_edge_diversity,mean_runtime_seconds,rank_within_instance
berlin52,52,full,20,1.8396976929196498,1.920146434156925,0.8949880668257757,0.06546330128205127,0.34021581995002637,3.0
berlin52,52,no_local_search,20,13.938610448156988,5.115683747460383,16.0434897905065,0.049036378205128205,0.10157290394990923,5.0
berlin52,52,no_persistence,20,0.6629541235746486,1.182952030963313,0.0,0.2373540064102564,0.33863730059997577,1.0
berlin52,52,no_directional_penalty,20,2.2089631397507294,2.4407306093808288,1.0739856801909309,0.06548365384615384,0.33060084585004007,4.0
berlin52,52,uniform_weights,20,1.7203659506762132,2.1134077989025166,0.6894722885176345,0.07566442307692307,0.33824119120001794,2.0
ch150,150,full,20,2.077205882352941,1.3322191401503318,1.8152573529411766,0.045969166666666665,0.8311137255000404,2.0
ch150,150,no_local_search,20,10.550704656862745,2.036615772166694,9.375,0.03761205555555556,0.17837802794999788,5.0
ch150,150,no_persistence,20,2.6455269607843137,1.213998745716492,2.3284313725490193,0.26756383333333333,0.7290005341000096,4.0
ch150,150,no_directional_penalty,20,2.0825674019607843,0.9636644539656386,2.144607843137255,0.04559827777777778,0.9165644915499115,3.0
ch150,150,uniform_weights,20,2.075674019607843,0.8279296918358308,1.8305759803921569,0.052636166666666664,0.8299276149000206,1.0
d493,493,full,20,8.670504542597566,2.114075754449816,8.453802639849151,0.05324364435429344,2.4908726061500603,1.0
d493,493,no_local_search,20,19.942289012056456,1.9386887400526467,19.610307982401004,0.03773122041920217,0.49552888554997027,5.0
d493,493,no_persistence,20,12.713559225187131,3.178875084088213,12.055025427118451,0.27371377620013526,1.5941164916499702,4.0
d493,493,no_directional_penalty,20,8.939346323067253,2.1879307215790424,9.552311296497344,0.05362665652467884,2.7149492525999674,2.0
d493,493,uniform_weights,20,8.980772527284156,1.9648319416042888,9.749442888977772,0.06153750845165653,2.629165220349978,3.0
eil76,76,full,20,3.0018587360594795,1.2436290216951205,2.973977695167286,0.07260844298245614,0.4381266248000202,2.0
eil76,76,no_local_search,20,15.436802973977695,2.757264382544859,14.96282527881041,0.042111842105263156,0.11201120325004013,5.0
eil76,76,no_persistence,20,2.8810408921933086,0.8079568143203275,2.881040892193308,0.35099276315789474,0.40713978950007,1.0
eil76,76,no_directional_penalty,20,3.2249070631970262,1.2696749197378776,3.5315985130111525,0.07608958333333334,0.42678413504997936,4.0
eil76,76,uniform_weights,20,3.113382899628253,1.4819359954122722,3.159851301115242,0.0850186403508772,0.4295672871000079,3.0
kroA100,100,full,20,1.7279860915327507,1.3048911774406493,1.1911474485480689,0.04461508333333334,0.5576412765500436,4.0
kroA100,100,no_local_search,20,21.351376750305423,2.091212017300023,21.727281270557278,0.041552,0.13411773989996617,5.0
kroA100,100,no_persistence,20,1.2054788083826709,1.0764132102978132,0.8340381543088056,0.24075591666666668,0.5477559256999939,1.0
kroA100,100,no_directional_penalty,20,1.581383328634527,1.2248876135640592,1.5975942110703882,0.046983083333333335,0.5826826119500538,3.0
kroA100,100,uniform_weights,20,1.2066535100084579,1.1656625507515699,1.104219528239827,0.051617333333333335,0.549227818449981,2.0
lin318,318,full,20,6.989102762378357,1.6476458235635734,6.628756334911609,0.05353957023060797,1.5483378040999696,1.0
lin318,318,no_local_search,20,20.43696019415166,1.8591467645747146,21.434009850341432,0.03751527777777778,0.3566793362499993,5.0
lin318,318,no_persistence,20,9.253967498631898,2.564324564182752,8.752290085417211,0.2599198637316562,1.5435484950499814,4.0
lin318,318,no_directional_penalty,20,7.160056151704775,1.6557770464718564,6.859549358776083,0.05390922431865828,1.593660902700003,2.0
lin318,318,uniform_weights,20,7.520164648219087,1.6904519870773054,7.236669918389683,0.06248194444444445,1.594440650050069,3.0
pcb442,442,full,20,7.217397298042459,1.4281114371271024,6.929181929181929,0.048456975867269984,2.086797095049974,2.0
pcb442,442,no_local_search,20,18.834928512347865,1.5481202875936422,18.55134113198629,0.0330274132730015,0.4349350334999599,5.0
pcb442,442,no_persistence,20,9.655165622907557,2.7499186932301964,10.030918901886643,0.24619029034690798,1.269792962499946,4.0
pcb442,442,no_directional_penalty,20,7.189038560006301,1.5575785554542394,7.264957264957265,0.0495204939668175,2.0437430411500146,1.0
pcb442,442,uniform_weights,20,7.29174051754697,1.6880453416114827,7.123163574776478,0.05490957767722473,2.024021271249967,3.0
pr439,439,full,20,11.419737541621199,2.8469228070966817,12.295624760998722,0.0476624715261959,2.115347670949973,1.0
pr439,439,no_local_search,20,22.35848792635496,1.3347182334117158,22.617681897460294,0.03316102885345482,0.4435664410000072,5.0
pr439,439,no_persistence,20,12.935262131938032,2.7279831546626223,13.408787785519088,0.22489924069855732,1.4847457365499621,4.0
pr439,439,no_directional_penalty,20,11.604363114058405,2.8904464412919806,12.222408759804882,0.046245861807137426,2.170923572750007,3.0
pr439,439,uniform_weights,20,11.517576503726088,2.931445188211758,12.038669240885309,0.054211199696279425,2.094656347550017,2.0
pr76,76,full,20,3.261864477297312,1.7106870190336008,2.7293151748814246,0.07371129385964913,0.407759669749953,4.0
pr76,76,no_local_search,20,25.679416414722773,3.6585229141826923,24.782033857561554,0.04012313596491228,0.10796565965006266,5.0
pr76,76,no_persistence,20,2.0716260320454145,1.2864178530912365,2.1773500124816243,0.3007683114035088,0.3912080088499579,1.0
pr76,76,no_directional_penalty,20,3.112824637801755,1.440824652233064,2.9488993056518646,0.07915888157894738,0.41080524719993716,3.0
pr76,76,uniform_weights,20,2.896106657790845,1.3011779592075234,2.5832339426215105,0.0931297149122807,0.4115069617500467,2.0
rat99,99,full,20,5.177539223781998,1.934195746907226,4.748142031379025,0.06056523569023568,0.5155333693500097,3.0
rat99,99,no_local_search,20,21.44508670520231,1.4998591570317203,21.139554087530968,0.03989789562289563,0.12592133289992943,5.0
rat99,99,no_persistence,20,5.123864574731627,1.706351333126187,5.202312138728324,0.29987516835016836,0.47645390819998285,2.0
rat99,99,no_directional_penalty,20,4.950454170107349,1.4961157248766703,4.582989265070189,0.06020757575757576,0.5386288026500778,1.0
rat99,99,uniform_weights,20,5.317919075144508,0.9149930803071565,5.326176713459951,0.06786212121212121,0.5127127896499587,4.0
tsp225,225,full,20,6.3319724419494765,2.442968361157153,6.506761929063536,0.053075185185185184,0.9984186030000274,3.0
tsp225,225,no_local_search,20,22.657565705537127,4.132144404931014,22.42919112018372,0.034441370370370365,0.20379255185009698,5.0
tsp225,225,no_persistence,20,7.216126562898698,2.3229224671343887,7.336055116101046,0.2703638148148148,0.7658201210500237,4.0
tsp225,225,no_directional_penalty,20,5.78463893850472,2.4728994362777397,5.4478183210002555,0.054660259259259256,1.0006136676000552,1.0
tsp225,225,uniform_weights,20,6.240112273539168,2.472641324178145,6.698137279918346,0.06304659259259258,0.9893423011999403,2.0
