instance,dimension,algorithm,run,seed,best_known,best_length,gap_percent,final_mean_length,runtime_seconds,budget_mode
berlin52,52,ACO,11,20263530,7542,7972,5.701405462741978,7972.0,,standard
berlin52,52,ACO,12,20263531,7542,7810,3.553434102360117,7810.0,,standard
berlin52,52,ACO,13,20263532,7542,7734,2.545743834526651,7734.0,,standard
berlin52,52,ACO,14,20263533,7542,7657,1.524794484221692,7657.0,,standard
berlin52,52,ACO,15,20263534,7542,7542,0.0,7542.0,,standard
berlin52,52,ACO,16,20263535,7542,7991,5.953328029700344,7991.0,,standard
berlin52,52,ACO,17,20263536,7542,7542,0.0,7542.0,,standard
berlin52,52,ACO,18,20263537,7542,7542,0.0,7542.0,,standard
berlin52,52,ACO,19,20263538,7542,7657,1.524794484221692,7657.0,,standard
berlin52,52,ACO,20,20263539,7542,7849,4.070538318748342,7849.0,,standard
berlin52,52,ACO,21,20263540,7542,7669,1.683903473879608,7669.0,,standard
berlin52,52,ACO,22,20263541,7542,7860,4.216388225934765,7860.0,,standard
berlin52,52,ACO,23,20263542,7542,7758,2.863961813842482,7758.0,,standard
berlin52,52,ACO,24,20263543,7542,7749,2.744630071599045,7749.0,,standard
berlin52,52,ACO,25,20263544,7542,7944,5.330151153540175,7944.0,,standard
berlin52,52,ACO,26,20263545,7542,8202,8.750994431185362,8202.0,,standard
berlin52,52,ACO,27,20263546,7542,8014,6.258286926544683,8014.0,,standard
berlin52,52,ACO,28,20263547,7542,7909,4.866083267037921,7909.0,,standard
berlin52,52,ACO,29,20263548,7542,7542,0.0,7542.0,,standard
berlin52,52,ACO,30,20263549,7542,8199,8.711217183770882,8199.0,,standard
berlin52,52,ABC/BCO,1,20264520,7542,7755,2.824184566428003,9279.566666666668,,standard
berlin52,52,ABC/BCO,2,20264521,7542,7678,1.803235216123044,9366.466666666667,,standard
berlin52,52,ABC/BCO,3,20264522,7542,7734,2.545743834526651,9328.833333333334,,standard
berlin52,52,ABC/BCO,4,20264523,7542,8280,9.785202863961814,9299.533333333333,,standard
berlin52,52,ABC/BCO,5,20264524,7542,8357,10.80615221426677,9519.6,,standard
berlin52,52,ABC/BCO,6,20264525,7542,7988,5.913550782285866,9299.733333333334,,standard
berlin52,52,ABC/BCO,7,20264526,7542,8029,6.457173163617077,9399.966666666667,,standard
berlin52,52,ABC/BCO,8,20264527,7542,8007,6.165473349244232,9447.366666666669,,standard
berlin52,52,ABC/BCO,9,20264528,7542,8228,9.09573057544418,9386.866666666669,,standard
berlin52,52,ABC/BCO,10,20264529,7542,7851,4.097056483691328,9464.3,,standard
berlin52,52,ABC/BCO,11,20264530,7542,8376,11.05807478122514,9320.933333333332,,standard
berlin52,52,ABC/BCO,12,20264531,7542,8645,14.62476796605675,9331.733333333334,,standard
berlin52,52,ABC/BCO,13,20264532,7542,8073,7.040572792362768,9147.9,,standard
