instance,algorithm,run,iteration_index,best_length,gap_percent
berlin52,MWI-H,1,0,14090,86.82047202333598
berlin52,MWI-H,1,1,14090,86.82047202333598
berlin52,MWI-H,1,2,14090,86.82047202333598
berlin52,MWI-H,1,3,14090,86.82047202333598
berlin52,MWI-H,1,4,13852,83.66481039512065
berlin52,MWI-H,1,5,13852,83.66481039512065
berlin52,MWI-H,1,6,13725,81.98090692124104
berlin52,MWI-H,1,7,13725,81.98090692124104
berlin52,MWI-H,1,8,13725,81.98090692124104
berlin52,MWI-H,1,9,13725,81.98090692124104
berlin52,MWI-H,1,10,13725,81.98090692124104
berlin52,MWI-H,1,11,13725,81.98090692124104
berlin52,MWI-H,1,12,13725,81.98090692124104
berlin52,MWI-H,1,13,13725,81.98090692124104
berlin52,MWI-H,1,14,13725,81.98090692124104
berlin52,MWI-H,1,15,13725,81.98090692124104
berlin52,MWI-H,1,16,13725,81.98090692124104
berlin52,MWI-H,1,17,12691,68.27101564571731
berlin52,MWI-H,1,18,12691,68.27101564571731
berlin52,MWI-H,1,19,12691,68.27101564571731
berlin52,MWI-H,1,20,12660,67.85998408910103
berlin52,MWI-H,1,21,12660,67.85998408910103
berlin52,MWI-H,1,22,12660,67.85998408910103
berlin52,MWI-H,1,23,12660,67.85998408910103
berlin52,MWI-H,1,24,12660,67.85998408910103
berlin52,MWI-H,1,25,12660,67.85998408910103
berlin52,MWI-H,1,26,12660,67.85998408910103
berlin52,MWI-H,1,27,12660,67.85998408910103
berlin52,MWI-H,1,28,12660,67.85998408910103
berlin52,MWI-H,1,29,12660,67.85998408910103
berlin52,MWI-H,2,0,13970,85.22938212675683
berlin52,MWI-H,2,1,13970,85.22938212675683
berlin52,MWI-H,2,2,13970,85.22938212675683
berlin52,MWI-H,2,3,13970,85.22938212675683
berlin52,MWI-H,2,4,13970,85.22938212675683
berlin52,MWI-H,2,5,13970,85.22938212675683
berlin52,MWI-H,2,6,13970,85.22938212675683
berlin52,MWI-H,2,7,13970,85.22938212675683
berlin52,MWI-H,2,8,13970,85.22938212675683
berlin52,MWI-H,2,9,13970,85.22938212675683
berlin52,MWI-H,2,10,13970,85.22938212675683
berlin52,MWI-H,2,11,13970,85.22938212675683
berlin52,MWI-H,2,12,13970,85.22938212675683
berlin52,MWI-H,2,13,13970,85.22938212675683
berlin52,MWI-H,2,14,13970,85.22938212675683
berlin52,MWI-H,2,15,13970,85.22938212675683
berlin52,MWI-H,2,16,13970,85.22938212675683
berlin52,MWI-H,2,17,13970,85.22938212675683
berlin52,MWI-H,2,18,13970,85.22938212675683
berlin52,MWI-H,2,19,13970,85.22938212675683
berlin52,MWI-H,2,20,13970,85.22938212675683
berlin52,MWI-H,2,21,13686,81.46380270485282
berlin52,MWI-H,2,22,13686,81.46380270485282
berlin52,MWI-H,2,23,13655,81.05277114823654
berlin52,MWI-H,2,24,13655,81.05277114823654
berlin52,MWI-H,2,25,13655,81.05277114823654
berlin52,MWI-H,2,26,13655,81.05277114823654
berlin52,MWI-H,2,27,13655,81.05277114823654
berlin52,MWI-H,2,28,13465,78.53354547865288
berlin52,MWI-H,2,29,13465,78.53354547865288
berlin52,SA,1,0,17549,132.68363829223017
berlin52,SA,1,1,17549,132.68363829223017
berlin52,SA,1,2,17549,132.68363829223017
berlin52,SA,1,3,17549,132.68363829223017
berlin52,SA,1,4,17549,132.68363829223017
berlin52,SA,1,5,17549,132.68363829223017
berlin52,SA,1,6,17549,132.68363829223017
berlin52,SA,1,7,17549,132.68363829223017
berlin52,SA,1,8,17549,132.68363829223017
berlin52,SA,1,9,17549,132.68363829223017
berlin52,SA,1,10,17549,132.68363829223017
berlin52,SA,1,11,17549,132.68363829223017
berlin52,SA,1,12,17549,132.68363829223017
berlin52,SA,1,13,17549,132.68363829223017
berlin52,SA,1,14,17549,132.68363829223017
berlin52,SA,1,15,17549,132.68363829223017
berlin52,SA,1,16,17549,132.68363829223017
berlin52,SA,1,17,17549,132.68363829223017
berlin52,SA,1,18,17549,132.68363829223017
berlin52,SA,1,19,17549,132.68363829223017
berlin52,SA,1,20,17549,132.68363829223017
berlin52,SA,1,21,17549,132.68363829223017
berlin52,SA,1,22,17549,132.68363829223017
berlin52,SA,1,23,17549,132.68363829223017
berlin52,SA,1,24,17549,132.68363829223017
berlin52,SA,1,25,17549,132.68363829223017
berlin52,SA,1,26,17549,132.68363829223017
berlin52,SA,1,27,17549,132.68363829223017
berlin52,SA,1,28,17549,132.68363829223017
berlin52,SA,1,29,17549,132.68363829223017
berlin52,SA,1,30,17549,132.68363829223017
berlin52,SA,1,31,17549,132.68363829223017
berlin52,SA,1,32,17549,132.68363829223017
berlin52,SA,1,33,17549,132.68363829223017
berlin52,SA,1,34,17549,132.68363829223017
berlin52,SA,1,35,17549,132.68363829223017
berlin52,SA,1,36,17549,132.68363829223017
berlin52,SA,1,37,17549,132.68363829223017
berlin52,SA,1,38,17549,132.68363829223017
berlin52,SA,1,39,17549,132.68363829223017
berlin52,SA,1,40,17549,132.68363829223017
berlin52,SA,1,41,17549,132.68363829223017
berlin52,SA,1,42,17549,132.68363829223017
berlin52,SA,1,43,17549,132.68363829223017
berlin52,SA,1,44,17549,132.68363829223017
berlin52,SA,1,45,17549,132.68363829223017
berlin52,SA,1,46,17549,132.68363829223017
berlin52,SA,1,47,17549,132.68363829223017
berlin52,SA,1,48,17549,132.68363829223017
berlin52,SA,1,49,17549,132.68363829223017
berlin52,SA,1,50,17549,132.68363829223017
berlin52,SA,1,51,17549,132.68363829223017
berlin52,SA,1,52,17549,132.68363829223017
berlin52,SA,1,53,17549,132.68363829223017
berlin52,SA,1,54,17549,132.68363829223017
berlin52,SA,1,55,17549,132.68363829223017
berlin52,SA,1,56,17549,132.68363829223017
berlin52,SA,1,57,17549,132.68363829223017
berlin52,SA,1,58,17549,132.68363829223017
berlin52,SA,1,59,17549,132.68363829223017
berlin52,SA,1,60,17549,132.68363829223017
berlin52,SA,1,61,17549,132.68363829223017
berlin52,SA,1,62,17549,132.68363829223017
berlin52,SA,1,63,17549,132.68363829223017
berlin52,SA,1,64,17549,132.68363829223017
berlin52,SA,1,65,17549,132.68363829223017
berlin52,SA,1,66,17549,132.68363829223017
berlin52,SA,1,67,17549,132.68363829223017
berlin52,SA,1,68,17549,132.68363829223017
berlin52,SA,1,69,17549,132.68363829223017
berlin52,SA,1,70,17549,132.68363829223017
berlin52,SA,1,71,17549,132.68363829223017
berlin52,SA,1,72,17549,132.68363829223017
berlin52,SA,1,73,17549,132.68363829223017
berlin52,SA,1,74,17549,132.68363829223017
berlin52,SA,1,75,17549,132.68363829223017
berlin52,SA,1,76,17549,132.68363829223017
berlin52,SA,1,77,17549,132.68363829223017
berlin52,SA,1,78,17549,132.68363829223017
berlin52,SA,1,79,17549,132.68363829223017
berlin52,SA,1,80,17549,132.68363829223017
berlin52,SA,1,81,17549,132.68363829223017
berlin52,SA,1,82,17549,132.68363829223017
berlin52,SA,1,83,17549,132.68363829223017
berlin52,SA,1,84,17549,132.68363829223017
berlin52,SA,1,85,17549,132.68363829223017
berlin52,SA,1,86,17549,132.68363829223017
berlin52,SA,1,87,17549,132.68363829223017
berlin52,SA,1,88,17549,132.68363829223017
